marketing_start_date,group_id,Vores_approval,unii,SMILES
19701208.0,50603.0,1,LX22YL083G,OC[C@H]([C@H]([C@@H]([C@H](C=O)O)O)O)O.O
19710101.0,109335.0,0,SW9M9BB5K3,[N-]1C(C(c2ccccc2)(CC)C(NC1=O)=O)=O.[Na+]
19710303.0,42092.0,1,JFN36L5S8K,N12[C@@](SC([C@@H]1C([O-])=O)(C)C)([H])[C@@H](C2=O)NC([C@@H](c3ccccc3)N)=O.[Na+]
19710322.0,9868.0,1,TU7HW0W0QT,C([O-])(=O)C(O)C.[Na+]
19710909.0,23134.0,1,32HRV3E3D5,[C@]12(C(c3c(cc(c(c3O1)Cl)OC)OC)=O)C(=CC(C[C@H]2C)=O)OC
19711020.0,19442.0,1,P6YC3EG204,[C-]#N.[Co+3].[C@@]12([C@]([C@@H](C(=N1)/C(/C)=C3/[C@]([C@@H](C(=N3)/C=C/4N=C([C@H](C4(C)C)CCC(=O)N)/C(=C\5/[C@@]([C@H](C2[N-]5)CC(=O)N)(CCC(NC[C@H](OP(O[C@H]6[C@H]([C@@H](n7cnc8c7cc(c(c8)C)C)O[C@@H]6CO)O)([O-])=O)C)=O)C)/C)CCC(=O)N)(CC(=O)N)C)CCC(=O)N)(CC(=O)N)C)C
19711126.0,101153.0,1,D83282DT06,n1c(c(F)c[nH]c1=O)N
19720101.0,68819.0,0,L960UP2KRW,[C@@]123c4c5c(O)ccc4C[C@H]([C@@]1(CCC([C@@]2(O5)[H])=O)[H])N(CC3)C.Cl
19720101.0,98723.0,1,3K9958V90M,OCC
19720201.0,4218.0,1,SV0CSG527L,[C@]12([C@@]3([C@@]([C@@]4(CC[C@@]([C@]4(C[C@@H]3O)C)(C(=O)C)O)[H])([H])C[C@@H](C1=CC(C=C2)=O)C)F)C
19720214.0,100601.0,1,V13007Z41A,c1(NC(=O)CN(CC)CC)c(cccc1C)C.Cl.O
19720421.0,24758.0,1,VB0R961HZT,[C@@]12([C@@](C(=O)CO)(CC[C@]2([C@@]3(CCC=4[C@@]([C@]3(C(C1)=O)[H])(C=CC(=O)C4)C)[H])[H])O)C
19720630.0,60358.0,1,98PI200987,c1(NC(=O)CN(CC)CC)c(cccc1C)C
19720814.0,23441.0,1,68Y4CF58BV,c1(c(c(C)ncc1CO)O)CO.Cl
19720901.0,47657.0,1,V83O1VOZ8L,C(=O)(c1ccncc1)NN
19720915.0,13150.0,1,93X55PE38X,c1(c2-c(cc(cc2)=O)oc3c1ccc([O-])c3)-c4c(C([O-])=O)cccc4.[Na+].[Na+]
19721002.0,121892.0,1,EH6D7113I8,[C@]1(O[C@H](SC)[C@@H]([C@H]([C@H]1O)O)OP(=O)(O)O)([C@](NC([C@H]2N(C[C@@H](C2)CCC)C)=O)([C@@H](Cl)C)[H])[H]
19721127.0,20658.0,1,TC2D6JAD40,C(c1ccccc1)(c2ccccc2)OCCN(C)C.Cl
19721201.0,31306.0,1,8B2807733D,[C@@]12([C@@](C(COC(=O)C)=O)(CC[C@]2([C@@]3(CCC=4[C@@]([C@]3([C@H](C1)O)[H])(C=CC(=O)C4)C)[H])[H])O)C
19730102.0,8575.0,0,F2R8V82B84,N1([C@@H]2C[C@H](C[C@H]1CC2)OC([C@@H](c3ccccc3)CO)=O)C.S(=O)(O)(O)=O.O.N1([C@@H]2C[C@H](C[C@H]1CC2)OC([C@@H](c3ccccc3)CO)=O)C.O
19730112.0,33069.0,1,0J48LPH2TH,S1(NCNc2c1cc(c(c2)Cl)S(=O)(=O)N)(=O)=O
19730126.0,50158.0,1,5688UTC01R,C1(/C=C/C(=C/C=C/C(=C/C(=O)O)/C)/C)=C(CCCC1(C)C)C
19730314.0,93463.0,1,229809935B,C(CC(N(C)C)C)(C(=O)CC)(c1ccccc1)c2ccccc2.Cl
19730515.0,17771.0,1,7C0697DR9I,N1([C@H]2C[C@H](OC(C(c3ccccc3)CO)=O)C[C@@H]1CC2)C
19730919.0,68816.0,1,R61ZEH7I1I,N1(c2c(cccc2)Sc3c1cccc3)CC(N(C)C)C.Cl
19730919.0,109160.0,1,NJJ0475N0S,[N-]1C(C(C(CCC)C)(CC)C(NC1=O)=O)=O.[Na+]
19731019.0,92434.0,1,U96OL57GOY,C(c1cc(N)c(cc1)OCCC)(=O)OCCN(CC)CC.Cl
19731126.0,20639.0,1,W46JY43EJR,c1c(ccc(c1)S(=O)(=O)[N-]c2ncccn2)N.[Ag+]
19731127.0,46823.0,1,TZ7V40X7VX,N1(C(c2cc(S(=O)(=O)N)c(cc2NC1C)Cl)=O)c3c(C)cccc3
19740101.0,109557.0,0,Q80VPU408O,[F-]
19740101.0,61661.0,1,3X7931PO74,[C@@]12([C@@](C(COC(=O)C)=O)(CC[C@]2([C@@]3(CCC=4[C@@]([C@]3([C@H](C1)O)[H])(CCC(=O)C4)C)[H])[H])O)C
19740401.0,61667.0,1,PH41D05744,C(c1ccc(OCCOCC[N+](Cc2ccccc2)(C)C)cc1)(CC(C)(C)C)(C)C.[Cl-]
19740415.0,135026.0,1,8Y164V895Y,C(=O)(N)OCC[N+](C)(C)C.[Cl-]
19740531.0,77266.0,1,9PHQ9Y1OLM,[C@@]12([C@@](C(=O)CO)(CC[C@]2([C@@]3(CCC=4[C@@]([C@]3([C@H](C1)O)[H])(C=CC(=O)C4)C)[H])[H])O)C
19740601.0,113520.0,0,25BB7EKE2E,S([O-])([O-])(=O)=O.[Ba+2]
19740725.0,14594.0,1,9WP59609J6,N1(c2c(ccc(c2)Cl)Sc3c1cccc3)CCCN(C)C.Cl
19741010.0,85358.0,1,X3P9A5HNYF,[133Xe]
19741017.0,23114.0,1,883WKN7W8X,[C@@]12([C@@](C(COC(=O)C)=O)(CC[C@]2([C@@]3(CCC=4[C@@]([C@]3(C(C1)=O)[H])(CCC(=O)C4)C)[H])[H])O)C
19750206.0,109415.0,1,V92SO9WP2I,C([C@](c1ccccc1)(C2CCCC2)O)(O[C@@H]3C[N+](C)(C)CC3)=O.[Br-]
19750602.0,104064.0,1,5PE9FDE8GB,C=1(c2c(NC(CN1)=O)ccc([N+]([O-])=O)c2)c3c(Cl)cccc3
19750714.0,126088.0,1,K89MJ0S5VY,c1(c(c(C)c(c(c1)C)CC2=NCCN2)O)C(C)(C)C.Cl
19750715.0,67660.0,1,AI9376Y64P,[C@]12([C@]([C@@]3(CCC=4[C@@]([C@@]3(F)[C@H](C1)O)(C=CC(=O)C4)C)[H])(C[C@H]([C@@]2(C(COP([O-])([O-])=O)=O)O)C)[H])C.[Na+].[Na+]
19750716.0,95766.0,1,4182431BJH,[N-]1C(C(c2ccccc2)(c3ccccc3)NC1=O)=O.[Na+]
19751024.0,82158.0,1,73K4184T59,[C@]12([C@@]([C@@H](C3=CC(=O)OC3)CC1)([C@H](O)C[C@@]4([C@]5(CC[C@@H](C[C@]5(CC[C@]42[H])[H])O[C@@]6(O[C@H](C)[C@H]([C@H](C6)O)O[C@@]7(O[C@H](C)[C@H]([C@H](C7)O)O[C@@]8(O[C@H](C)[C@H]([C@H](C8)O)O)[H])[H])[H])C)[H])C)O
19751101.0,4222.0,1,A0730CX801,O=[99Tc]([O-])(=O)=O.[Na+]
19760615.0,114791.0,1,F7LTH1E20Y,C(=N)(NCCC[C@@H](C(=O)O)N)N.Cl
19760721.0,50138.0,1,M03GIQ7Z6P,C(c1c2c([nH]c1)cccc2)[C@@H](C(N[C@H](C(N[C@H](C(N[C@@H](Cc3ccccc3)C(N)=O)=O)CC(O)=O)=O)CCSC)=O)NC(CNC([C@@H](NC([C@H](Cc4ccc(cc4)OS(=O)(=O)O)NC(=O)[C@H](CC(O)=O)N)=O)CCSC)=O)=O
19760729.0,121713.0,1,PO572Z7917,S(c1ccc(C(=O)O)cc1)(N(CCC)CCC)(=O)=O
19760802.0,99893.0,1,JJ768O327N,S(=O)(O)(O)=O.C(c1ccccc1)[C@@H](N)C.C(c1ccccc1)[C@@H](N)C
19760816.0,21174.0,1,LAV5U5022Y,c1(C(=O)OC)c(O)cccc1
19760816.0,21174.0,1,N20HL7Q941,[C@]12(C([C@@H](CC1=O)CC2)(C)C)C
19760909.0,32069.0,1,M329791L57,N12CN3CN(CN(C3)C1)C2.C(NCC(=O)O)(=O)c1ccccc1
19760917.0,27883.0,1,MOR84MUD8E,C(NC(=N)NCCCCCCNC(NC(Nc1ccc(cc1)Cl)=N)=N)(Nc2ccc(cc2)Cl)=N.OC[C@H]([C@H]([C@@H]([C@H](C(O)=O)O)O)O)O.OC[C@H]([C@H]([C@@H]([C@H](C(O)=O)O)O)O)O
19761025.0,74279.0,0,L7J6A1NE81,C(C(c1ccccc1)O)(=O)c2ccccc2
19761124.0,87407.0,1,J13S2394HE,S(=O)(=O)(O)O.[N@@]12C[C@H](C=C)[C@@H](CC1)C[C@]2([H])[C@@H](O)c3ccnc4c3cc(cc4)OC.O.[N@]12C[C@@H]([C@H](C[C@]1([H])[C@H](c3ccnc4c3cc(cc4)OC)O)CC2)C=C.O
19761201.0,108186.0,0,YKH834O4BH,c1c(c(O)ccc1[C@@H](O)CNC)O
19770328.0,90917.0,1,339NCG44TV,c1(O)ccccc1
19770329.0,40064.0,0,4J9FJ0HL51,P([O-])(=O)(O)O.[K+]
19770411.0,40065.0,0,593YOG76RN,P([O-])(=O)(O)O.[Na+].O
19770801.0,93503.0,1,00FN6IH15D,C1(c2c(CCc3c1cccc3)cccc2)=CCCNC.Cl
19770901.0,130877.0,1,N6BOM1935W,C(C(=O)N)(CCN(C(C)C)C(C)C)(c1ncccc1)c2ccccc2.P(=O)(O)(O)O
19771121.0,1279.0,1,26LUD4JO9K,C1(c2c(CCc3c1cccc3)cccc2)=CCCN(C)C.Cl
19780101.0,58831.0,1,6985IP0T80,[C@@H]([C@H](C(=O)O)O)(C(=O)O)O.N1([C@H]([C@H](c2ccccc2)OCC1)C)C
19780101.0,126492.0,1,0K2I505OTV,C(Cc1ccccc1)(N)(C)C.Cl
19780214.0,60332.0,1,F446C597KA,[C@@]12([C@@]3([C@@]([C@@]4(CCC=5[C@@]([C@]4([C@H](C3)O)F)(C=CC(=O)C5)C)[H])([H])C[C@]1(OC(O2)(C)C)[H])C)C(=O)CO
19780404.0,132945.0,1,YOW8V9698H,[S+]([O-])(C)C
19780424.0,113446.0,1,7LXU5N7ZO5,S(c1cc(C(=O)O)c(cc1Cl)NCc2occc2)(=O)(=O)N
19780509.0,134980.0,0,KH7I04HPUU,P([O-])(=O)(O)O.[Na+]
19780511.0,54717.0,1,4G7DS2Q64Y,[C@]12([C@]([C@@]3(CCC=4[C@@]([C@]3(CC1)[H])(CCC(=O)C4)C)[H])(CC[C@@H]2C(=O)C)[H])C
19780710.0,23339.0,1,804826J2HU,O.N12[C@@](SC([C@@H]1C(O)=O)(C)C)([H])[C@@H](C2=O)NC([C@@H](c3ccc(cc3)O)N)=O.O.O
19781015.0,41248.0,1,78E4J5IB5J,C(c1c(Cl)cccc1)(C(Cl)Cl)c2ccc(cc2)Cl
19781116.0,23431.0,1,362O9ITL9D,C(Nc1ccc(cc1)O)(=O)C
19781116.0,23431.0,1,GSL05Y1MN6,[C@@]123c4c5c(OC)ccc4C[C@H]([C@]1([H])C=C[C@H](O)[C@]2([H])O5)N(C)CC3.P(=O)(O)(O)O.O.[C@@]123c4c5c(OC)ccc4C[C@H]([C@]1([H])C=C[C@@H]([C@]2([H])O5)O)N(C)CC3.P(=O)(O)(O)O
19781201.0,96856.0,1,IA7306519N,[C@@H]1(O[N+]([O-])=O)CO[C@]2([H])[C@@H](O[N+]([O-])=O)CO[C@]12[H]
